tox_cas_edf_id,tox_chemical_name,tox_category,tox_cancer,tox_cardiovascular_blood,tox_developmental,tox_endocrine,tox_gastrointestinal_liver,tox_immunotoxicity,tox_kidney,tox_musculoskeletal,tox_neurotoxicity,tox_reproductive,tox_respiratory,tox_skin_sense
100-00-5,P-NITROCHLOROBENZENE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
100-00-5,P-NITROCHLOROBENZENE,suspected,False,True,False,False,True,False,True,False,False,False,False,False
100-01-6,P-NITROANILINE,suspected,False,True,False,False,False,False,False,False,True,False,False,False
100-02-7,4-NITROPHENOL,suspected,False,True,False,False,False,False,False,False,True,False,False,True
100-20-9,"1,4-BENZENEDICARBONYL CHLORIDE",suspected,False,False,False,False,False,False,False,False,True,False,True,False
100-21-0,TEREPHTHALIC ACID,suspected,False,False,False,False,False,False,False,False,True,False,False,False
100-25-4,P-DINITROBENZENE,recognized,False,False,False,False,False,False,False,False,False,True,False,False
100-25-4,P-DINITROBENZENE,suspected,False,True,False,False,True,False,False,False,True,False,False,False
100-37-8,2-(DIETHYLAMINO)ETHANOL,suspected,False,False,False,False,True,False,False,False,True,False,True,True
100-40-3,4-VINYLCYCLOHEXENE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
100-40-3,4-VINYLCYCLOHEXENE,suspected,False,False,False,False,False,False,False,False,False,True,False,False
100-41-4,ETHYLBENZENE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
100-41-4,ETHYLBENZENE,suspected,False,True,True,True,True,False,True,False,True,True,True,True
100-42-5,STYRENE,suspected,True,True,True,True,True,True,True,False,True,True,True,True
100-43-6,"Pyridine, 4-ethenyl-",suspected,False,False,False,False,False,False,False,False,True,False,True,False
100-44-7,BENZYL CHLORIDE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
100-44-7,BENZYL CHLORIDE,suspected,False,True,True,False,True,False,False,False,True,False,True,True
100-47-0,BENZONITRILE,suspected,False,False,False,False,False,False,False,False,True,False,False,False
100-51-6,BENZYL ALCOHOL,suspected,False,False,False,False,True,True,False,False,True,False,False,True
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,suspected,False,False,False,False,True,False,True,False,True,False,True,True
100-53-8,(MERCAPTOMETHYL)BENZENE,suspected,False,False,False,False,False,False,False,False,True,False,True,False
100-61-8,METHYLANILINE,suspected,False,True,False,False,False,False,False,False,True,False,True,False
100-63-0,PHENYLHYDRAZINE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
100-63-0,PHENYLHYDRAZINE,suspected,False,True,False,False,False,True,False,False,True,False,False,True
100-75-4,N-NITROSOPIPERIDINE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
100-75-4,N-NITROSOPIPERIDINE,suspected,False,False,False,False,True,False,False,False,False,False,True,False
100-97-0,"1,3,5,7-TETRAAZAADAMANTANE",suspected,False,False,False,False,False,True,False,False,False,False,True,True
1002-53-5,DIBUTYLTIN,suspected,False,False,False,False,False,True,False,False,False,False,False,False
10024-97-2,NITROUS OXIDE,suspected,False,True,True,False,False,False,False,False,True,True,True,False
10025-67-9,SULFUR CHLORIDE (MONO),suspected,False,False,False,False,False,False,False,False,False,False,True,True
10025-87-3,PHOSPHORUS OXYCHLORIDE,suspected,False,False,False,False,False,False,True,False,True,False,True,True
10025-91-9,ANTIMONY TRICHLORIDE,suspected,False,False,False,False,True,False,False,False,True,False,True,False
10026-13-8,PHOSPHORUS PENTACHLORIDE,suspected,False,False,False,False,False,False,False,False,False,False,True,True
10026-24-1,Cobalt sulfate heptahydrate,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10026-24-1,Cobalt sulfate heptahydrate,suspected,False,False,False,True,False,False,False,False,False,False,True,False
10027-06-2,"8,9,10-TRINORBORN-2-YL ACRYLATE",suspected,False,False,False,False,False,True,False,False,False,False,False,True
10028-15-6,OZONE,suspected,False,True,False,False,True,True,False,False,True,False,True,True
10028-17-8,TRITIUM,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10031-13-7,LEAD ARSENITE,recognized,True,False,True,False,False,False,False,False,False,True,False,False
10034-93-2,HYDRAZINE SULFATE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10034-93-2,HYDRAZINE SULFATE,suspected,False,False,False,False,True,False,False,False,True,False,True,False
10035-10-6,HYDROBROMIDE ACID,suspected,False,False,False,False,False,False,False,False,False,False,True,True
10039-54-0,"HYDROXYLAMINE, SULFATE (2:1)",suspected,False,False,False,False,False,False,False,False,True,False,True,False
10043-35-3,BORIC ACID,suspected,False,True,False,False,True,False,True,False,True,True,True,True
10043-49-9,AU-198,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10043-52-4,Calcium chloride (CaCl2),suspected,False,True,False,False,False,False,False,False,False,False,False,False
10043-66-0,IODINE-131,recognized,True,False,True,False,False,False,False,False,False,False,False,False
10043-66-0,IODINE-131,suspected,False,False,False,True,False,False,False,False,False,False,False,False
10043-92-2,RADON,suspected,True,False,False,False,False,False,False,False,False,False,True,False
10045-94-0,MERCURIC NITRATE,recognized,False,False,True,False,False,False,False,False,False,False,False,False
10045-97-3,CAESIUM-137,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10045-97-3(+D),CS-137+D,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10048-13-2,STERIGMATOCYSTIN,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10048-13-2,STERIGMATOCYSTIN,suspected,False,False,False,False,True,False,False,False,False,False,False,False
10049-04-4,CHLORINE DIOXIDE,suspected,False,False,True,False,False,False,False,False,False,True,True,True
10049-14-6,Uranium fluoride (UF4),suspected,False,True,False,False,False,False,True,False,False,False,False,False
10061-01-5,"CIS-1,3-DICHLOROPROPENE",recognized,True,False,False,False,False,False,False,False,False,False,False,False
10061-02-6,"TRANS-1,3-DICHLOROPROPENE",recognized,True,False,False,False,False,False,False,False,False,False,False,False
10098-91-6,Y-90,recognized,True,False,False,False,False,False,False,False,False,False,False,False
10098-97-2,STRONTIUM-90,recognized,True,False,False,False,False,False,False,False,False,False,False,False
